Date : 2023-11-13 00:33:03
Directory : /Users/hernan/Documents/learn/ParCePhysics
Total : 94 files,  9785 codes, 520 comments, 2684 blanks, all 12989 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/Makefile.cmake                              | CMake       |        142 |          0 |          6 |        148 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/OpenGL_LearningIMGUI.dir/DependInfo.cmake   | CMake       |         44 |          0 |          6 |         50 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/OpenGL_LearningIMGUI.dir/cmake_clean.cmake  | CMake       |         70 |          0 |          2 |         72 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/OpenGL_LearningIMGUI.dir/compiler_depend.ts | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/run.dir/DependInfo.cmake                    | CMake       |         13 |          0 |          6 |         19 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/run.dir/cmake_clean.cmake                   | CMake       |          7 |          0 |          2 |          9 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/run.dir/compiler_depend.ts                  | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/AssMesh.cpp                                     | C++         |          9 |          0 |          3 |         12 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/AssMesh.h                                       | C++         |         56 |          0 |         12 |         68 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/AssModel.cpp                                    | C++         |        115 |          8 |         43 |        166 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/AssModel.h                                      | C++         |         46 |          0 |         21 |         67 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Cube.cpp                                        | C++         |        120 |          0 |         43 |        163 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Cube.h                                          | C++         |         25 |          0 |          8 |         33 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/EmptyObject.cpp                                 | C++         |         37 |          2 |         11 |         50 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/EmptyObject.h                                   | C++         |         36 |          0 |         13 |         49 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Light.cpp                                       | C++         |         80 |          0 |         20 |        100 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Light.h                                         | C++         |         32 |          0 |         13 |         45 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Model copy.cpp                                  | C++         |        190 |          5 |         50 |        245 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Model copy.h                                    | C++         |         70 |          1 |         26 |         97 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Model.cpp                                       | C++         |        190 |          5 |         52 |        247 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Model.h                                         | C++         |         70 |          1 |         26 |         97 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/PCamera.cpp                                     | C++         |         77 |          0 |         15 |         92 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/PCamera.h                                       | C++         |         33 |          0 |          9 |         42 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/PerspectiveGrid.cpp                             | C++         |         76 |          9 |         33 |        118 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/PerspectiveGrid.h                               | C++         |         30 |          0 |          9 |         39 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Quad.cpp                                        | C++         |         62 |          5 |         23 |         90 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Quad.h                                          | C++         |         23 |          0 |         12 |         35 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Sphere.cpp                                      | C++         |        108 |         13 |         34 |        155 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/Sphere.h                                        | C++         |         30 |          0 |          9 |         39 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/World.cpp                                       | C++         |         15 |          0 |          5 |         20 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Entity/World.h                                         | C++         |         21 |          0 |          4 |         25 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Input.cpp                                              | C++         |        152 |          0 |         48 |        200 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Input.h                                                | C++         |         40 |          0 |         24 |         64 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Makefile                                               | Makefile    |        634 |        142 |        230 |      1,006 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Material.cpp                                           | C++         |         57 |          0 |         14 |         71 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Material.h                                             | C++         |         34 |          0 |         16 |         50 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Screen.cpp                                             | C++         |         95 |          1 |         34 |        130 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Screen.h                                               | C++         |         28 |          0 |         12 |         40 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shader.cpp                                             | C++         |        215 |          4 |         64 |        283 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shader.h                                               | C++         |         37 |          0 |         16 |         53 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shaders/Default.frag                                   | GLSL        |          8 |          0 |          4 |         12 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shaders/Default.vert                                   | GLSL        |         12 |          0 |          4 |         16 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shaders/Light.frag                                     | GLSL        |         46 |          5 |         14 |         65 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Shaders/Light.vert                                     | GLSL        |         21 |          1 |          6 |         28 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Texture.cpp                                            | C++         |         51 |          0 |         18 |         69 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Texture.h                                              | C++         |         15 |          0 |          8 |         23 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Transform.cpp                                          | C++         |        116 |          3 |         36 |        155 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Transform.h                                            | C++         |         35 |          0 |         14 |         49 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Utilities/Utility.cpp                                  | C++         |         31 |          0 |          7 |         38 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Utilities/Utility.h                                    | C++         |         13 |          0 |          8 |         21 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/app.cpp                                                | C++         |        226 |         19 |         85 |        330 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/cmake_install.cmake                                    | CMake       |         42 |          0 |          8 |         50 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/imgui.ini                                              | Ini         |         12 |          0 |          4 |         16 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/ParCe.cpp                                                       | C++         |        495 |         74 |        161 |        730 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/ParCe.h                                                         | C++         |         80 |          0 |         25 |        105 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Forces/PForces.cpp                                      | C++         |        114 |          3 |         45 |        162 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Forces/PForces.h                                        | C++         |         68 |          0 |         32 |        100 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/Core.h                                            | C++         |         60 |          7 |         21 |         88 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat2.cpp                                         | C++         |        111 |          3 |         29 |        143 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat2.h                                           | C++         |         52 |          1 |         13 |         66 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat3.cpp                                         | C++         |        239 |          9 |         52 |        300 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat3.h                                           | C++         |         77 |          0 |         25 |        102 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat4.cpp                                         | C++         |        337 |         14 |         70 |        421 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PMat4.h                                           | C++         |         98 |          0 |         24 |        122 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PPoint.cpp                                        | C++         |        198 |          1 |         37 |        236 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PPoint.h                                          | C++         |         44 |          0 |         14 |         58 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PQuat.cpp                                         | C++         |        188 |         28 |         58 |        274 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PQuat.h                                           | C++         |         51 |          0 |         17 |         68 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec.h                                            | C++         |        141 |          0 |         48 |        189 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec2.cpp                                         | C++         |        138 |          1 |         27 |        166 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec2.h                                           | C++         |         35 |          0 |         10 |         45 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec3.cpp                                         | C++         |        217 |          7 |         43 |        267 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec3.h                                           | C++         |         54 |          0 |         11 |         65 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec4.cpp                                         | C++         |        198 |          1 |         38 |        237 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Maths/PVec4.h                                           | C++         |         44 |          0 |         14 |         58 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PParticle.cpp                                           | C++         |         48 |          0 |         13 |         61 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PParticle.h                                             | C++         |         24 |          0 |          6 |         30 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PRBDBody.cpp                                            | C++         |        194 |         14 |         45 |        253 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PRBDBody.h                                              | C++         |         58 |          1 |         24 |         83 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PRBDShape.cpp                                           | C++         |        113 |          3 |         44 |        160 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/PRBDShape.h                                             | C++         |         73 |          0 |         18 |         91 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Utilities/Timer.cpp                                     | C++         |         29 |          0 |          9 |         38 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Physics/Utilities/Timer.h                                       | C++         |         17 |          0 |          6 |         23 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/main.cpp                                                        | C++         |         12 |          0 |          5 |         17 |
| Total                                                                                                             |             |      9,785 |        520 |      2,684 |     12,989 |
+-------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
